SHIP_ID,ITINERARY_ID,DURATION,CRUISE_AREA
150012,387909,14,Arabia & the Red Sea
150012,387911,14,Arabia & the Red Sea
150012,387913,14,Arabia & the Red Sea
150012,387915,8,Arabia & the Red Sea
150012,387917,8,Arabia & the Red Sea
150012,387919,8,Arabia & the Red Sea
150012,387921,7,Arabia & the Red Sea
150012,387923,7,Arabia & the Red Sea
150012,387925,7,Arabia & the Red Sea
150012,387797,15,Arabia & the Red Sea
150012,387799,14,Arabia & the Red Sea
150012,387801,14,Arabia & the Red Sea
150012,387803,14,Arabia & the Red Sea
150012,387805,14,Asia
150012,387807,14,Asia
150012,387809,14,Asia
150012,387811,14,Asia
150012,387813,14,Asia
150012,387815,14,Asia
150012,387817,14,Asia
150012,387819,14,Asia
150012,387821,14,Asia
150012,387823,14,Asia
150012,387825,14,Asia
150012,387827,14,Asia
150012,387829,14,Asia
150012,387831,14,Asia
150012,387833,14,Asia
150012,387835,14,Asia
150012,387837,14,Asia
150012,387839,14,Asia
150012,387841,14,Asia
150012,387843,14,Asia
150012,387845,14,Asia
150012,387855,14,Asia
150012,387857,14,Asia
150012,387859,14,Asia
150012,387861,14,Asia
150012,387863,14,Asia
150012,387865,14,Asia
150012,387867,14,Asia
150012,387869,14,Asia
150012,387871,14,Asia
150012,387873,14,Asia
150012,387875,14,Asia
150012,387877,14,Asia
150012,387879,14,Arabia & the Red Sea
150012,387881,14,Arabia & the Red Sea
150012,387883,14,Arabia & the Red Sea
150012,388531,14,Scandinavia, the Baltic & UK
150012,388533,14,Scandinavia, the Baltic & UK
150012,388535,14,Scandinavia, the Baltic & UK
150012,389303,7,Caribbean & Central America
150012,388537,14,Scandinavia, the Baltic & UK
150012,388539,7,Scandinavia, the Baltic & UK
150012,388541,7,Scandinavia, the Baltic & UK
150012,388543,7,Scandinavia, the Baltic & UK
150012,388545,7,Scandinavia, the Baltic & UK
150012,388547,13,Scandinavia, the Baltic & UK
150012,388549,13,Scandinavia, the Baltic & UK
150012,388551,13,Scandinavia, the Baltic & UK
150012,388553,13,Scandinavia, the Baltic & UK
150012,388555,14,Scandinavia, the Baltic & UK
150012,388557,14,Scandinavia, the Baltic & UK
150012,388559,14,Scandinavia, the Baltic & UK
150012,388561,14,Scandinavia, the Baltic & UK
150012,388563,14,Scandinavia, the Baltic & UK
150012,388565,14,Scandinavia, the Baltic & UK
150012,388567,14,Scandinavia, the Baltic & UK
150012,388569,14,Scandinavia, the Baltic & UK
150012,388571,7,Scandinavia, the Baltic & UK
150012,388573,7,Scandinavia, the Baltic & UK
150012,388575,7,Scandinavia, the Baltic & UK
150012,388577,7,Scandinavia, the Baltic & UK
150012,388579,14,Scandinavia, the Baltic & UK
150012,388581,14,Scandinavia, the Baltic & UK
150012,388583,14,Scandinavia, the Baltic & UK
150012,388585,14,Scandinavia, the Baltic & UK
150012,388587,8,Scandinavia, the Baltic & UK
150012,388589,8,Scandinavia, the Baltic & UK
150012,388591,8,Scandinavia, the Baltic & UK
150012,388593,8,Scandinavia, the Baltic & UK
150012,388595,14,Scandinavia, the Baltic & UK
150012,388597,14,Scandinavia, the Baltic & UK
150012,373901,14,Scandinavia, the Baltic & UK
150012,388599,14,Scandinavia, the Baltic & UK
150012,388601,14,Scandinavia, the Baltic & UK
150012,388603,8,Scandinavia, the Baltic & UK
150012,388605,8,Scandinavia, the Baltic & UK
150012,373911,7,Scandinavia, the Baltic & UK
150012,388607,8,Scandinavia, the Baltic & UK
150012,388609,8,Scandinavia, the Baltic & UK
150012,388611,14,Scandinavia, the Baltic & UK
150012,388613,14,Scandinavia, the Baltic & UK
150012,388615,14,Scandinavia, the Baltic & UK
150012,388617,14,Scandinavia, the Baltic & UK
150012,388619,12,Western Mediterranean
150012,388621,14,Western Mediterranean
150012,388623,14,Western Mediterranean
150012,388625,14,Western Mediterranean
150012,373921,13,Scandinavia, the Baltic & UK
