EXCURSION_ID,SEQ,CAPTION,URL
993907,12,Nelsons Dockyard,https://media.thomson.co.uk/asset/lpp/v00/984/094.jpg
993907,13,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/166.jpg
993907,14,,https://media.thomson.co.uk/asset/lpp/v01/151/658.jpg
993908,1,,https://media.thomson.co.uk/asset/lpp/v00/886/339.jpg
993908,2,,https://media.thomson.co.uk/asset/lpp/v00/886/337.jpg
993908,3,,https://media.thomson.co.uk/asset/lpp/v00/886/343.jpg
993908,4,,https://media.thomson.co.uk/asset/lpp/v00/886/345.jpg
993908,5,,https://media.thomson.co.uk/asset/lpp/v00/886/347.jpg
993908,6,,https://media.thomson.co.uk/asset/lpp/v00/886/349.jpg
993908,7,,https://media.thomson.co.uk/asset/lpp/v00/886/351.jpg
993908,8,,https://media.thomson.co.uk/asset/lpp/v00/886/353.jpg
993909,1,,https://media.thomson.co.uk/asset/lpp/v00/893/094.jpg
993909,2,,https://media.thomson.co.uk/asset/lpp/v00/893/096.jpg
993909,3,Zip lining,https://media.thomson.co.uk/asset/lpp/v00/984/058.jpg
993910,1,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/399/557.jpg
994298,1,Antigua,https://media.thomson.co.uk/asset/lpp/v00/795/841.jpg
994833,1,Catamaran,https://media.thomson.co.uk/asset/lpp/v01/021/302.jpg
994833,2,,https://media.thomson.co.uk/asset/lpp/v01/072/179.jpg
994833,3,,https://media.thomson.co.uk/asset/lpp/v00/892/785.jpg
994833,4,,https://media.thomson.co.uk/asset/lpp/v01/151/654.jpg
994833,5,,https://media.thomson.co.uk/asset/lpp/v01/072/147.jpg
994833,6,,https://media.thomson.co.uk/asset/lpp/v01/072/177.jpg
995823,1,Horseback Beach Trekking St Johns Antigua,https://media.thomson.co.uk/asset/lpp/v01/016/719.jpg
995823,2,,https://media.thomson.co.uk/asset/lpp/v00/376/490.jpg
995823,3,,https://media.thomson.co.uk/asset/lpp/v00/988/907.jpg
995823,4,,https://media.thomson.co.uk/asset/lpp/v00/988/931.jpg
